iter	Passed	Remaining
959	4615	192
960	4624	187
961	4632	183
962	4640	178
963	4648	173
964	4657	168
965	4663	164
966	4671	159
967	4678	154
968	4686	149
969	4693	145
970	4700	140
971	4707	135
972	4712	130
973	4717	125
974	4722	121
975	4727	116
976	4733	111
977	4739	106
978	4746	101
979	4751	96
980	4755	92
981	4759	87
982	4765	82
983	4770	77
984	4776	72
985	4781	67
986	4786	63
987	4791	58
988	4797	53
989	4803	48
990	4809	43
991	4816	38
992	4822	33
993	4826	29
994	4830	24
995	4834	19
996	4838	14
997	4841	9
998	4845	4
999	4850	0
